Date,etf,spy,ratio,zscore
2001-05-11,10.2476806640625,79.66314697265625,0.12863765810783168,-0.1388543938783259
2001-05-14,10.118510246276855,79.82230377197266,0.126762944291639,-0.2422640548137893
2001-05-15,9.95345401763916,80.1915054321289,0.12412105202418718,-0.39158032340228266
2001-05-16,10.218977928161621,82.08204650878906,0.12449711432410994,-0.3638795311054278
2001-05-17,10.520380973815918,82.20934295654297,0.12797062469380324,-0.1538493009208347
2001-05-18,10.498848915100098,82.58490753173828,0.1271279369183198,-0.1983084508934216
2001-05-21,11.022716522216797,83.8006591796875,0.13153496201720333,0.06932773807142663
2001-05-22,10.76436996459961,83.6924819946289,0.128618123253776,-0.10155418530203683
2001-05-23,10.936602592468262,82.27299499511719,0.1329306486668844,0.15962443411855984
2001-05-24,10.972481727600098,82.5149154663086,0.13297573736326782,0.1650692487794792
2001-05-25,10.800253868103027,81.54094696044922,0.13245190632065634,0.13763715532092122
2001-05-29,10.958130836486816,80.89171600341797,0.13546666306379007,0.31974495903935696
2001-05-30,10.656728744506836,79.75862121582031,0.13361224883352232,0.21099773065664099
2001-05-31,10.814605712890625,80.17239379882812,0.1348918898446151,0.2934954577491128
2001-06-01,10.635198593139648,80.66893005371094,0.13183760570592082,0.1140019482596601
2001-06-04,10.699787139892578,81.05721282958984,0.13200289975905308,0.13099927008420492
2001-06-05,10.43426513671875,81.98652648925781,0.12726804736734257,-0.14986736565527237
2001-06-06,10.405559539794922,81.30545806884766,0.12798107023742153,-0.09872335581235851
2001-06-07,10.606494903564453,81.59827423095703,0.129984304245745,0.03383102621980183
2001-06-08,10.814605712890625,80.84074401855469,0.1337766721989649,0.2778585488174414
2001-06-11,10.613669395446777,80.26788330078125,0.13222809620723452,0.19333150753842676
2001-06-12,10.448616027832031,80.1278305053711,0.13039933768245035,0.08904637773328143
2001-06-13,10.728490829467773,79.44036865234375,0.13505086911692282,0.4009538184721612
2001-06-14,10.369675636291504,77.65803527832031,0.13352997663573896,0.31398917502330964
2001-06-15,10.635198593139648,77.7831802368164,0.1367287704200321,0.5325542519072411
2001-06-18,10.484498023986816,77.40653228759766,0.13544719953391685,0.4534145067294139
2001-06-19,10.154390335083008,77.7448959350586,0.13061166540842903,0.13677773033464877
2001-06-20,10.226153373718262,78.15343475341797,0.1308471394249378,0.16119038911594977
2001-06-21,10.26203441619873,79.0407485961914,0.12983220172453186,0.10055541379487701
2001-06-22,10.190272331237793,78.42152404785156,0.12994228886727388,0.11626288267471134
2001-06-25,10.190272331237793,77.70020294189453,0.13114859350957223,0.2085503482405626
2001-06-26,10.010866165161133,77.5916519165039,0.12901988703544795,0.07089458080198903
2001-06-27,9.91039752960205,77.54698181152344,0.1277986234678881,-0.004791583144956562
2001-06-28,10.513203620910645,77.97469329833984,0.13482840619437847,0.5083119976341871
2001-06-29,10.254858016967773,78.26193237304688,0.13103251741966326,0.2491846125137332
2001-07-02,10.233330726623535,79.2386245727539,0.12914573898525558,0.12375936761445651
2001-07-03,10.132863998413086,79.21946716308594,0.12790876234439907,0.04474979604604294
2001-07-05,10.132863998413086,77.6746826171875,0.13045259609687715,0.2519268308155001
