Date,EWJ,EWY,EWT,EWH,EWS,EWA,FXI,EPI,THD,EWG,EWU,EWQ,EWI,EWP,EWL,EWN,EWD,EWC,EWZ,EWW,EZA
2000-12-29,-1.2984542661959315,,,0.1549021502120245,-0.06553493280352471,1.044277123151401,,,,-0.20437718008310873,1.1057852712440026,2.4099374014753123,3.3531153404005254,0.5086362547318208,4.0280111634003655,1.8524828089208558,-1.2506578313912202,0.24450706156912735,,-1.1524309820863428,
2001-01-02,-1.1211971379065706,,,0.10009860210984751,-0.0687890298339176,2.006118281609642,,,,0.004754134058183692,1.9218662336802812,2.7676224473710294,3.3929671643501123,1.2275816090503813,4.553143290631464,2.323508086486995,-1.1458638414530382,0.16393038959543274,,-1.1985054288969073,
2001-01-03,-1.1482347830135131,,,0.41388879183011246,0.22072669857570731,1.4012162789129157,,,,-0.2599282889135189,1.2300407435743304,1.4104257825376043,2.5042353471372305,0.9400337855765009,4.138537791482925,1.8924556856949524,-1.3703235877813724,-0.22437327384817948,,-0.866069325111418,
2001-01-04,-1.660288489200844,,,0.05689842696088352,-0.007104887018436235,1.7831918684052985,,,,-0.2130326322757524,0.7878694826162207,1.7279318429521506,2.6448748658639407,1.6124787300957284,3.625701931272223,1.9763008014229042,-1.2484327404632292,0.04376178494474757,,-0.6997594895543906,
2001-01-05,-1.2847069258517028,,,0.5440259442384932,0.5104839314820213,2.525165185669114,,,,0.019098464821763923,1.7750525723178638,2.40146517326898,3.1523790715490105,2.0798574566327077,3.9232525227804147,2.7243366353082266,-0.889867731922609,0.23848338037258615,,-0.3369862985069752,
2001-01-08,-1.30031556799999,,,0.40926246368939134,0.2686823363603244,1.6289676780336395,,,,-0.05194779693706696,1.6538072198860814,1.8859254203462443,2.906474614914028,1.8927156260811737,3.497560833124559,2.3844581827767994,-0.9826907501597267,-0.3462496493274416,,-0.41787920483784724,
2001-01-09,-1.3300883520355407,,,1.0252071370809717,1.0956795975131883,1.8241513580218696,,,,-0.11535570264969615,1.222636331096651,1.7586683881489882,2.9361992101766514,2.0050020968589157,3.0133070273921843,2.5215195624747286,-0.9150092705798576,-0.11588023946316822,,-0.6735107972808643,
2001-01-10,-1.6193036196650519,,,0.6153459507946032,0.6778838589403999,1.4489209396671734,,,,-0.338402159052283,0.8325654799670646,1.2840587616653554,2.508385753870122,1.416753608238371,2.2474887408723125,1.4401278998301381,-1.2002298747327238,-0.63270542399871,,-1.2285467572438225,
2001-01-11,-1.981858756880036,,,0.32008056251907085,0.3792936024755818,1.4326722585846845,,,,-0.06777541534118477,1.1304118603548607,1.5681238836084015,2.802782144409174,1.883122101105147,2.791804653101916,2.280703906354696,-0.8684655803907042,-0.051061909911701446,,-0.709355656350873,
2001-01-12,-1.935378469950665,,,0.3542175889692956,0.11134059962778894,1.3369613828680031,,,,-0.04485148184890829,0.989815501896607,2.0047276898236133,2.9495275749139966,2.1783149075378745,2.5647539745407353,2.1580655575789325,-0.8289061979090928,-0.3717806176265904,,-0.7305687084651606,
2001-01-16,-1.7743143075310046,,,0.2445559969804376,0.017523236216175585,1.2071753287948153,,,,-0.13266292912921493,0.5003519713473257,1.4941408130369358,2.5787545124737647,1.6139368354694366,2.2632025682112027,1.568772060511314,-0.9755524292078642,-0.4035522412632369,,-0.7912241329055361,
2001-01-17,-1.5970085006440922,,,0.16539635863290694,-0.2191528352910174,1.2582633457307022,,,,-0.08093556146451818,0.7920523783351333,1.6443003429703131,2.4237031916184293,1.6466657224577803,2.217911737489709,1.5065621901017703,-0.934074663586043,-0.13757748814197124,,-0.597077522601398,
2001-01-18,-1.350057563205703,,,0.45159700552232496,-0.3850266509488684,1.1842169540870728,,,,-0.05251331134686847,0.6086058301845817,1.5329441878359644,2.5651747643028373,1.9421230294411176,2.3530864719617934,1.4451233149898088,-0.6497805070720037,-0.22250534837458813,,-0.6504126455842609,
2001-01-19,-1.4794038768591056,,,0.9180781100838242,-0.2769676021367148,1.4552712457869972,,,,-0.08282413488137404,0.46680215447667955,1.3795662401546616,2.4447873003214617,1.6655723507774072,2.1479487289944355,1.2153766022927794,-0.7362645270474467,0.26728392182355176,,-0.4904427869774922,
