Date,etf,spy,ratio,zscore
2000-12-29,31.28362464904785,83.28205871582031,0.37563462204741577,-1.2984464762275985
2001-01-02,31.10687255859375,81.77433776855469,0.38039895409040553,-1.1211947156580284
2001-01-03,32.520816802978516,85.70234680175781,0.37946238366382157,-1.148232552016055
2001-01-04,30.930118560791016,84.77984619140625,0.36482867037716166,-1.6602838976328407
2001-01-05,30.75337791442871,82.01236724853516,0.3749846388561355,-1.2847072624623164
2001-01-08,30.930118560791016,82.64720153808594,0.37424278118524834,-1.3003190218382674
2001-01-09,30.75337791442871,82.42902374267578,0.3730891925935408,-1.3300899979861616
2001-01-10,30.576635360717773,83.87720489501953,0.364540466018001,-1.6193049635001167
2001-01-11,29.692913055419922,83.95655059814453,0.35366999768182644,-1.9818599338633476
2001-01-12,29.692913055419922,83.79784393310547,0.35433982142933557,-1.9353787350499092
2001-01-16,30.2231388092041,84.3334732055664,0.3583765456396409,-1.7743141826734137
2001-01-17,30.75337791442871,84.72035217285156,0.36299870250401955,-1.5970133878932753
2001-01-18,31.637094497680664,85.56350708007812,0.36974985688784107,-1.350059273078635
2001-01-19,31.10687255859375,85.07744598388672,0.3656300703300996,-1.4794017496459715
2001-01-22,31.28362464904785,85.64282989501953,0.3652801371392694,-1.4777762151291554
2001-01-23,31.28362464904785,86.31734466552734,0.3624257067947275,-1.561659541844301
2001-01-24,30.930118560791016,86.57523345947266,0.3572628952282287,-1.7218984002159863
2001-01-25,30.930118560791016,86.35700225830078,0.3581657277573917,-1.6758409432000394
2001-01-26,30.576635360717773,86.25782012939453,0.3544795743139585,-1.7845968532420566
2001-01-29,31.191692352294922,86.71809387207031,0.3596907053597147,-1.5948607735220188
2001-01-30,31.3048095703125,87.47988891601562,0.3578515011646441,-1.645008368737929
2001-01-31,31.10687255859375,86.98470306396484,0.35761313728597866,-1.6395947199474348
2001-02-01,31.21997833251953,87.56237030029297,0.35654560544045794,-1.663002788632786
2001-02-02,30.795804977416992,85.57537078857422,0.35986761954560836,-1.538358161445626
2001-02-05,30.626127243041992,86.20384216308594,0.35527566375871655,-1.6852002415687317
2001-02-06,30.597843170166016,85.94994354248047,0.35599608224341805,-1.6488468925757243
2001-02-07,30.117095947265625,85.50553894042969,0.352223918128248,-1.7617371364710865
