Date,etf,spy,ratio,zscore
2000-12-29,13.077522277832031,83.06805419921875,0.15743142660436873,2.4099366757723155
2001-01-02,13.077522277832031,81.56417846679688,0.1603341383884057,2.7676288046674355
2001-01-03,12.87887954711914,85.48211669921875,0.15066168275214042,1.4104361732964807
2001-01-04,12.945093154907227,84.5620346069336,0.15308398402521176,1.7279258673940576
2001-01-05,12.945093154907227,81.80162048339844,0.15824983757546002,2.4014644658025626
2001-01-08,12.746447563171387,82.43482971191406,0.1546245392598801,1.8859162279464938
2001-01-09,12.647126197814941,82.2171859741211,0.1538258217910278,1.7586710590442072
2001-01-10,12.580911636352539,83.6616439819336,0.1503784893238452,1.2840592665520816
2001-01-11,12.77955436706543,83.74085998535156,0.15260834877144686,1.5681123128584336
2001-01-12,13.044417381286621,83.5825424194336,0.15606629092265675,2.0047211123226787
2001-01-16,12.812663078308105,84.1167984008789,0.15231990900612108,1.4941371884458983
2001-01-17,12.978203773498535,84.502685546875,0.15358332921028073,1.6442816352077145
2001-01-18,13.044417381286621,85.34359741210938,0.15284588155216144,1.532940513122671
2001-01-19,12.87887954711914,84.85882568359375,0.1517682980334842,1.3795718221559385
2001-01-22,12.978203773498535,85.42279815673828,0.15192904064890778,1.3882539504868834
2001-01-23,12.87887954711914,86.0955581665039,0.14958819968635456,1.0748956733820225
2001-01-24,12.746447563171387,86.3527603149414,0.14760903434566758,0.8112085684572655
2001-01-25,12.87887954711914,86.13514709472656,0.14951944684038998,1.052096468748228
2001-01-26,12.812663078308105,86.03612518310547,0.1489218982263519,0.9683372171872171
2001-01-29,12.766310691833496,86.49530792236328,0.14759541295918988,0.7906835294340047
2001-01-30,12.888147354125977,87.25509643554688,0.14770652810688398,0.7987037664771603
2001-01-31,13.237765312194824,86.76123809814453,0.15257695259281837,1.4164155081086034
2001-02-01,13.020576477050781,87.33740997314453,0.14908361126182346,0.9600616532292626
2001-02-02,12.792797088623047,85.35549926757812,0.14987665936461025,1.0592408345903772
2001-02-05,12.898746490478516,85.98237609863281,0.15001616698382467,1.0762260466306282
2001-02-06,12.81928825378418,85.72908782958984,0.14953253998533197,1.0114230109793068
2001-02-07,12.61269474029541,85.28584289550781,0.14788732000630492,0.8014156070555479
2001-02-08,12.474963188171387,84.29171752929688,0.14799749671532703,0.819587913885591
2001-02-09,12.554428100585938,83.4812240600586,0.15038624842819687,1.1258887002488058
2001-02-12,12.633886337280273,84.43734741210938,0.14962438689148608,1.0317810178422402
2001-02-13,12.485559463500977,83.7471694946289,0.14908634570988974,0.9660631313486223
2001-02-14,12.316049575805664,83.62049102783203,0.14728506642835212,0.7331317604816922
2001-02-15,12.236592292785645,84.43101501464844,0.1449300626157656,0.4305511435777523
2001-02-16,12.098861694335938,82.56940460205078,0.14652959837420745,0.6417847680819351
2001-02-20,11.918757438659668,81.29666900634766,0.14660818929406627,0.6555817021487833
2001-02-21,11.728055000305176,79.54270935058594,0.1474434941436752,0.7699393196863159
2001-02-22,11.65389633178711,79.66304016113281,0.14628987681382746,0.6245852107563971
2001-02-23,11.547951698303223,79.12480163574219,0.1459460429545872,0.588410920544478
2001-02-26,11.65389633178711,80.80908966064453,0.1442151666443381,0.37059138390198365
2001-02-27,11.65389633178711,80.0619125366211,0.145561053471668,0.5527790449038867
2001-02-28,11.733352661132812,78.48531341552734,0.14949743016266678,1.0815217433861477
2001-03-01,11.706869125366211,78.89684295654297,0.14838197178326198,0.9383590992388454
2001-03-02,11.728055000305176,78.26995849609375,0.1498410785651623,1.144917145884124
2001-03-05,11.754542350769043,78.9854736328125,0.14881903988337822,1.0158189623181384
2001-03-06,11.977028846740723,79.83399200439453,0.15002417574310248,1.1867949711165215
2001-03-07,12.008810043334961,80.40380859375,0.14935623390691516,1.1042942352579235
2001-03-08,11.876381874084473,80.49251556396484,0.14754641212134426,0.867425502372626
2001-03-09,11.733352661132812,78.11167907714844,0.1502125264717988,1.2399096418408966
2001-03-12,11.431412696838379,74.76834869384766,0.1528910681663753,1.6155858174282718
2001-03-13,11.230118751525879,75.99677276611328,0.14777099530380786,0.9126516479230704
2001-03-14,10.912283897399902,74.49610137939453,0.14648127479618978,0.742037734381303
2001-03-15,10.965255737304688,74.51509094238281,0.14715483264703166,0.8379861620533436
2001-03-16,10.700396537780762,73.0205078125,0.14653960727384885,0.7512636976602447
2001-03-19,10.801041603088379,74.50618743896484,0.1449683841618731,0.5318432817841765
2001-03-20,10.8593111038208,72.50623321533203,0.14977072483644774,1.19877859732945
2001-03-21,10.567963600158691,71.27452850341797,0.14827125232616453,0.984187348541875
2001-03-22,10.303105354309082,70.55071258544922,0.14603828900849478,0.6694552496644339
2001-03-23,10.43023681640625,72.68399047851562,0.1435011582019466,0.31449062502789565
2001-03-26,10.790446281433105,73.6109848022461,0.14658744629516024,0.7391345304966295
2001-03-27,11.071197509765625,75.11568450927734,0.14738862571901679,0.8462663304082985
2001-03-28,10.806339263916016,73.03955841064453,0.1479518701791759,0.9199120201790423
2001-03-29,10.65802001953125,73.31893920898438,0.1453651694162159,0.559279436043124
2001-03-30,10.753368377685547,74.08718872070312,0.14514477554579686,0.5262635133164149
